14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:30: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
14:20:31: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:31: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
14:20:31: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:31: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
14:20:31: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
