17:05:35: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 50] Logger initialized
17:05:40: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 1
17:05:41: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 2
17:05:42: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 3
17:05:43: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 4
17:05:44: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 5
17:05:45: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 6
17:05:46: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 7
17:05:47: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 8
17:05:53: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 1
17:05:55: [WARNING] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 59] Missed Heartbeat 1
